,ESR1,PGR,GATA3,FOXA1,MKI67,PCNA,TOP2A,CCND1,MYC,BRCA2,GATA3,MAP3K1,PIK3CA,AKT1,MTOR,KRT8,KRT18,KRT19,EPCAM,KRT5,KRT14,EGFR,COL1A1,COL3A1,ACTA2,FAP,VIM,CD3D,CD8A,CD4,FOXP3,CD68,CD163,HIF1A,VEGFA,CA9
SPOT_02_29,9.0,6.0,21.0,11.0,6.0,4.0,0.0,15.0,4.0,16.0,13.0,4.0,12.0,35.0,3.0,17.0,15.0,14.0,5.0,3.0,1.0,1.0,49.0,22.0,6.0,6.0,7.0,2.0,6.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0
SPOT_03_00,15.0,12.0,33.0,11.0,3.0,12.0,4.0,8.0,4.0,3.0,7.0,1.0,1.0,5.0,1.0,38.0,43.0,40.0,14.0,0.0,1.0,1.0,10.0,5.0,3.0,2.0,10.0,4.0,2.0,5.0,1.0,1.0,3.0,8.0,4.0,6.0
SPOT_03_01,5.0,22.0,14.0,5.0,6.0,8.0,8.0,14.0,4.0,8.0,20.0,3.0,13.0,4.0,4.0,8.0,24.0,45.0,9.0,2.0,1.0,3.0,20.0,25.0,11.0,5.0,3.0,7.0,3.0,5.0,2.0,2.0,6.0,17.0,4.0,5.0
SPOT_03_02,19.0,8.0,44.0,8.0,26.0,12.0,3.0,6.0,3.0,6.0,18.0,3.0,15.0,16.0,4.0,20.0,21.0,22.0,13.0,0.0,1.0,2.0,27.0,12.0,4.0,15.0,5.0,18.0,11.0,5.0,1.0,10.0,9.0,5.0,5.0,24.0
SPOT_03_03,10.0,2.0,22.0,8.0,11.0,11.0,5.0,4.0,21.0,2.0,11.0,3.0,16.0,6.0,12.0,26.0,20.0,4.0,4.0,0.0,0.0,1.0,18.0,5.0,18.0,3.0,13.0,3.0,1.0,2.0,0.0,18.0,6.0,4.0,2.0,3.0
SPOT_03_04,5.0,8.0,12.0,5.0,4.0,9.0,3.0,5.0,4.0,2.0,18.0,6.0,5.0,17.0,16.0,33.0,15.0,21.0,8.0,0.0,0.0,0.0,9.0,7.0,4.0,6.0,5.0,12.0,4.0,11.0,5.0,6.0,10.0,6.0,16.0,2.0
SPOT_03_05,7.0,26.0,14.0,4.0,11.0,3.0,2.0,4.0,3.0,7.0,46.0,4.0,9.0,2.0,3.0,17.0,9.0,16.0,11.0,1.0,0.0,1.0,23.0,7.0,10.0,20.0,13.0,4.0,5.0,14.0,1.0,5.0,11.0,6.0,6.0,1.0
SPOT_03_06,21.0,12.0,24.0,5.0,9.0,10.0,11.0,12.0,8.0,6.0,13.0,8.0,5.0,5.0,4.0,22.0,14.0,14.0,13.0,0.0,0.0,1.0,10.0,6.0,7.0,3.0,4.0,5.0,5.0,2.0,0.0,4.0,3.0,8.0,9.0,4.0
SPOT_03_07,5.0,16.0,12.0,12.0,6.0,3.0,5.0,21.0,7.0,9.0,24.0,5.0,14.0,3.0,16.0,14.0,5.0,23.0,9.0,0.0,0.0,1.0,21.0,3.0,2.0,12.0,7.0,1.0,4.0,2.0,8.0,6.0,5.0,13.0,9.0,3.0
SPOT_03_08,13.0,16.0,85.0,41.0,89.0,42.0,34.0,52.0,47.0,4.0,45.0,18.0,51.0,12.0,15.0,16.0,55.0,42.0,62.0,12.0,3.0,9.0,180.0,36.0,25.0,13.0,53.0,69.0,165.0,229.0,145.0,217.0,351.0,36.0,39.0,23.0
SPOT_03_09,13.0,6.0,61.0,19.0,42.0,38.0,14.0,14.0,17.0,15.0,58.0,10.0,25.0,32.0,18.0,26.0,19.0,37.0,32.0,2.0,4.0,9.0,483.0,412.0,154.0,77.0,453.0,18.0,12.0,5.0,8.0,23.0,9.0,8.0,28.0,17.0
SPOT_03_10,10.0,12.0,34.0,69.0,25.0,41.0,36.0,24.0,12.0,14.0,35.0,25.0,25.0,31.0,23.0,30.0,11.0,45.0,16.0,6.0,3.0,5.0,759.0,1121.0,239.0,192.0,239.0,15.0,7.0,20.0,6.0,40.0,14.0,16.0,120.0,41.0
SPOT_03_11,27.0,11.0,78.0,46.0,12.0,13.0,19.0,5.0,26.0,46.0,28.0,6.0,20.0,18.0,11.0,22.0,18.0,33.0,40.0,5.0,1.0,1.0,444.0,668.0,946.0,590.0,106.0,36.0,19.0,17.0,3.0,11.0,23.0,21.0,48.0,19.0
SPOT_03_12,15.0,15.0,53.0,32.0,63.0,20.0,37.0,59.0,51.0,10.0,80.0,33.0,61.0,21.0,24.0,22.0,102.0,29.0,38.0,6.0,1.0,4.0,37.0,11.0,15.0,36.0,108.0,323.0,154.0,86.0,132.0,121.0,483.0,178.0,38.0,65.0
SPOT_03_13,10.0,36.0,47.0,93.0,61.0,31.0,5.0,59.0,8.0,57.0,168.0,19.0,23.0,101.0,41.0,13.0,61.0,29.0,138.0,2.0,1.0,7.0,54.0,25.0,17.0,18.0,83.0,96.0,114.0,216.0,225.0,194.0,357.0,46.0,63.0,42.0
SPOT_03_14,7.0,27.0,35.0,61.0,20.0,13.0,34.0,59.0,49.0,39.0,24.0,8.0,49.0,31.0,21.0,12.0,16.0,60.0,31.0,2.0,3.0,3.0,213.0,478.0,555.0,180.0,363.0,12.0,52.0,38.0,15.0,38.0,23.0,26.0,17.0,22.0
SPOT_03_15,9.0,16.0,75.0,22.0,42.0,25.0,11.0,71.0,16.0,9.0,54.0,21.0,58.0,14.0,82.0,30.0,18.0,78.0,40.0,6.0,1.0,2.0,698.0,245.0,154.0,148.0,430.0,17.0,14.0,21.0,8.0,6.0,79.0,33.0,42.0,34.0
SPOT_03_16,7.0,10.0,58.0,160.0,42.0,23.0,40.0,33.0,70.0,7.0,99.0,30.0,20.0,39.0,79.0,12.0,219.0,75.0,34.0,7.0,8.0,6.0,81.0,84.0,19.0,51.0,24.0,250.0,568.0,207.0,87.0,187.0,381.0,21.0,23.0,29.0
SPOT_03_17,34.0,17.0,31.0,43.0,43.0,13.0,22.0,18.0,5.0,18.0,75.0,28.0,25.0,10.0,22.0,51.0,16.0,42.0,29.0,7.0,2.0,6.0,234.0,320.0,157.0,152.0,178.0,17.0,15.0,18.0,26.0,40.0,27.0,12.0,41.0,5.0
SPOT_03_18,21.0,34.0,34.0,22.0,22.0,6.0,12.0,47.0,19.0,37.0,63.0,10.0,21.0,25.0,20.0,12.0,53.0,44.0,19.0,5.0,1.0,19.0,324.0,721.0,282.0,587.0,410.0,50.0,25.0,38.0,3.0,15.0,6.0,55.0,58.0,23.0
SPOT_03_19,9.0,12.0,101.0,51.0,47.0,23.0,32.0,100.0,40.0,40.0,50.0,35.0,55.0,31.0,35.0,34.0,78.0,89.0,40.0,3.0,6.0,7.0,289.0,70.0,26.0,105.0,133.0,158.0,57.0,202.0,32.0,308.0,193.0,48.0,20.0,10.0
SPOT_03_20,23.0,16.0,51.0,15.0,21.0,38.0,9.0,41.0,13.0,17.0,45.0,11.0,29.0,89.0,34.0,19.0,19.0,53.0,41.0,1.0,3.0,9.0,411.0,454.0,539.0,266.0,141.0,32.0,14.0,7.0,3.0,24.0,16.0,33.0,28.0,22.0
SPOT_03_21,25.0,22.0,52.0,67.0,23.0,32.0,14.0,43.0,21.0,17.0,34.0,5.0,28.0,17.0,19.0,8.0,25.0,36.0,47.0,14.0,1.0,1.0,120.0,425.0,180.0,157.0,527.0,17.0,18.0,38.0,45.0,14.0,21.0,69.0,82.0,7.0
SPOT_03_22,18.0,31.0,115.0,65.0,9.0,20.0,12.0,31.0,25.0,24.0,58.0,23.0,33.0,22.0,16.0,22.0,15.0,95.0,44.0,1.0,1.0,1.0,1086.0,674.0,587.0,97.0,239.0,8.0,10.0,36.0,22.0,11.0,63.0,33.0,71.0,9.0
SPOT_03_23,6.0,10.0,15.0,25.0,10.0,2.0,2.0,6.0,5.0,5.0,26.0,4.0,6.0,9.0,12.0,19.0,25.0,4.0,13.0,0.0,0.0,1.0,11.0,7.0,10.0,7.0,4.0,10.0,3.0,12.0,2.0,10.0,5.0,9.0,13.0,1.0
SPOT_03_24,21.0,13.0,3.0,5.0,12.0,3.0,2.0,3.0,10.0,3.0,37.0,2.0,11.0,3.0,2.0,36.0,7.0,29.0,3.0,0.0,1.0,0.0,14.0,4.0,11.0,2.0,12.0,8.0,4.0,5.0,1.0,4.0,4.0,9.0,15.0,5.0
SPOT_03_25,13.0,1.0,12.0,6.0,11.0,1.0,30.0,10.0,8.0,9.0,28.0,6.0,13.0,5.0,2.0,18.0,50.0,7.0,14.0,1.0,0.0,2.0,4.0,17.0,11.0,7.0,13.0,10.0,2.0,7.0,2.0,11.0,2.0,5.0,6.0,5.0
SPOT_03_26,26.0,9.0,7.0,7.0,7.0,4.0,1.0,10.0,2.0,2.0,15.0,6.0,13.0,3.0,7.0,117.0,12.0,12.0,9.0,1.0,0.0,2.0,13.0,7.0,8.0,15.0,5.0,5.0,2.0,8.0,3.0,2.0,4.0,6.0,12.0,3.0
SPOT_03_27,18.0,8.0,16.0,9.0,19.0,5.0,7.0,10.0,10.0,6.0,8.0,4.0,2.0,12.0,18.0,6.0,14.0,7.0,19.0,2.0,0.0,4.0,20.0,10.0,4.0,2.0,15.0,10.0,7.0,1.0,2.0,14.0,3.0,4.0,19.0,12.0
SPOT_03_28,9.0,9.0,17.0,2.0,10.0,2.0,7.0,14.0,7.0,4.0,9.0,4.0,13.0,3.0,11.0,40.0,12.0,28.0,8.0,0.0,1.0,2.0,9.0,8.0,17.0,6.0,19.0,4.0,4.0,9.0,3.0,9.0,6.0,12.0,5.0,10.0
SPOT_03_29,13.0,11.0,10.0,9.0,3.0,9.0,6.0,4.0,8.0,8.0,12.0,2.0,8.0,21.0,8.0,39.0,20.0,21.0,25.0,0.0,2.0,3.0,12.0,4.0,8.0,4.0,2.0,5.0,10.0,5.0,2.0,3.0,13.0,8.0,27.0,6.0
SPOT_04_00,17.0,17.0,15.0,6.0,1.0,9.0,5.0,13.0,12.0,3.0,10.0,8.0,5.0,11.0,7.0,4.0,10.0,20.0,3.0,0.0,0.0,0.0,11.0,7.0,8.0,9.0,3.0,3.0,0.0,3.0,1.0,11.0,4.0,14.0,7.0,4.0
SPOT_04_01,7.0,25.0,35.0,14.0,10.0,6.0,4.0,6.0,6.0,7.0,24.0,1.0,9.0,9.0,9.0,5.0,10.0,14.0,8.0,1.0,1.0,6.0,36.0,10.0,6.0,23.0,10.0,7.0,3.0,12.0,0.0,2.0,7.0,3.0,35.0,7.0
SPOT_04_02,18.0,17.0,7.0,7.0,9.0,3.0,3.0,2.0,5.0,6.0,26.0,5.0,23.0,17.0,8.0,28.0,8.0,26.0,22.0,1.0,0.0,3.0,6.0,7.0,7.0,3.0,4.0,2.0,8.0,5.0,3.0,5.0,13.0,15.0,3.0,1.0
SPOT_04_03,15.0,33.0,15.0,14.0,6.0,2.0,6.0,4.0,6.0,8.0,11.0,5.0,22.0,33.0,6.0,26.0,9.0,24.0,18.0,0.0,0.0,1.0,10.0,6.0,4.0,15.0,6.0,1.0,7.0,1.0,7.0,6.0,10.0,8.0,17.0,2.0
SPOT_04_04,8.0,39.0,9.0,8.0,7.0,7.0,4.0,17.0,13.0,2.0,16.0,5.0,8.0,39.0,3.0,24.0,39.0,14.0,29.0,0.0,1.0,0.0,15.0,2.0,6.0,3.0,16.0,1.0,3.0,5.0,0.0,3.0,12.0,3.0,4.0,7.0
SPOT_04_05,14.0,7.0,14.0,6.0,2.0,8.0,7.0,24.0,10.0,6.0,14.0,5.0,4.0,6.0,9.0,12.0,11.0,13.0,11.0,0.0,1.0,1.0,11.0,10.0,7.0,4.0,1.0,2.0,5.0,6.0,6.0,6.0,1.0,11.0,3.0,10.0
SPOT_04_06,27.0,8.0,16.0,93.0,9.0,9.0,3.0,2.0,14.0,19.0,38.0,2.0,14.0,26.0,30.0,35.0,19.0,5.0,24.0,0.0,0.0,1.0,4.0,10.0,8.0,4.0,4.0,1.0,13.0,3.0,8.0,6.0,2.0,8.0,4.0,2.0
SPOT_04_07,12.0,14.0,49.0,29.0,51.0,11.0,4.0,53.0,59.0,12.0,117.0,35.0,45.0,58.0,15.0,20.0,27.0,73.0,45.0,1.0,1.0,25.0,276.0,357.0,376.0,117.0,225.0,15.0,45.0,19.0,10.0,9.0,11.0,56.0,19.0,24.0
SPOT_04_08,10.0,14.0,100.0,28.0,35.0,17.0,19.0,25.0,27.0,10.0,42.0,16.0,13.0,18.0,7.0,15.0,13.0,59.0,22.0,9.0,1.0,7.0,284.0,1323.0,96.0,339.0,611.0,8.0,15.0,8.0,11.0,33.0,14.0,16.0,19.0,30.0
SPOT_04_09,25.0,19.0,51.0,65.0,27.0,29.0,10.0,45.0,23.0,13.0,61.0,6.0,23.0,65.0,51.0,11.0,9.0,8.0,77.0,5.0,2.0,5.0,216.0,575.0,751.0,728.0,151.0,12.0,19.0,13.0,3.0,23.0,22.0,18.0,9.0,19.0
SPOT_04_10,5.0,12.0,37.0,13.0,4.0,38.0,6.0,15.0,82.0,20.0,93.0,5.0,47.0,15.0,18.0,24.0,8.0,33.0,62.0,5.0,8.0,7.0,561.0,1449.0,359.0,479.0,513.0,17.0,4.0,77.0,52.0,36.0,5.0,12.0,25.0,29.0
SPOT_04_11,16.0,10.0,54.0,22.0,50.0,38.0,4.0,34.0,96.0,15.0,137.0,25.0,55.0,28.0,35.0,17.0,20.0,24.0,92.0,8.0,4.0,2.0,321.0,345.0,87.0,644.0,583.0,11.0,20.0,7.0,7.0,10.0,14.0,24.0,63.0,20.0
SPOT_04_12,14.0,18.0,40.0,31.0,16.0,24.0,31.0,36.0,17.0,55.0,53.0,21.0,40.0,20.0,49.0,16.0,11.0,15.0,141.0,6.0,1.0,5.0,267.0,225.0,1352.0,380.0,87.0,15.0,4.0,8.0,6.0,10.0,15.0,11.0,39.0,10.0
SPOT_04_13,12.0,5.0,46.0,5.0,49.0,9.0,16.0,27.0,20.0,16.0,74.0,9.0,41.0,17.0,15.0,44.0,16.0,42.0,50.0,2.0,1.0,11.0,770.0,838.0,417.0,224.0,236.0,12.0,9.0,42.0,24.0,14.0,25.0,21.0,33.0,6.0
SPOT_04_14,18.0,18.0,36.0,50.0,30.0,66.0,34.0,57.0,18.0,22.0,118.0,19.0,22.0,186.0,26.0,30.0,34.0,37.0,33.0,5.0,2.0,6.0,495.0,1122.0,766.0,392.0,425.0,10.0,14.0,16.0,4.0,12.0,62.0,23.0,73.0,39.0
SPOT_04_15,26.0,8.0,78.0,13.0,21.0,33.0,41.0,55.0,31.0,31.0,58.0,26.0,69.0,41.0,19.0,34.0,52.0,34.0,24.0,4.0,8.0,4.0,103.0,103.0,68.0,23.0,42.0,339.0,70.0,100.0,115.0,298.0,216.0,47.0,48.0,26.0
SPOT_04_16,7.0,18.0,70.0,74.0,9.0,4.0,39.0,29.0,43.0,9.0,38.0,17.0,25.0,10.0,13.0,17.0,16.0,143.0,58.0,2.0,3.0,2.0,422.0,228.0,385.0,250.0,112.0,19.0,6.0,41.0,10.0,39.0,6.0,22.0,17.0,231.0
SPOT_04_17,37.0,12.0,52.0,32.0,37.0,28.0,33.0,35.0,93.0,36.0,35.0,42.0,108.0,16.0,21.0,11.0,233.0,69.0,59.0,5.0,9.0,2.0,51.0,33.0,17.0,10.0,11.0,150.0,47.0,73.0,121.0,116.0,275.0,56.0,57.0,53.0
SPOT_04_18,56.0,6.0,127.0,11.0,16.0,14.0,11.0,16.0,5.0,23.0,91.0,10.0,63.0,7.0,19.0,41.0,30.0,46.0,48.0,3.0,3.0,9.0,523.0,584.0,118.0,306.0,844.0,43.0,14.0,5.0,16.0,28.0,37.0,19.0,101.0,21.0
SPOT_04_19,6.0,10.0,19.0,65.0,60.0,20.0,18.0,64.0,10.0,21.0,54.0,25.0,48.0,17.0,50.0,19.0,13.0,24.0,47.0,3.0,1.0,12.0,314.0,109.0,259.0,179.0,420.0,15.0,20.0,26.0,11.0,29.0,25.0,10.0,32.0,45.0
SPOT_04_20,14.0,40.0,43.0,48.0,133.0,29.0,26.0,51.0,74.0,18.0,147.0,20.0,29.0,49.0,21.0,39.0,64.0,50.0,51.0,3.0,6.0,15.0,86.0,23.0,29.0,56.0,23.0,102.0,432.0,502.0,108.0,190.0,123.0,46.0,21.0,40.0
SPOT_04_21,7.0,9.0,177.0,57.0,28.0,28.0,22.0,95.0,75.0,38.0,110.0,10.0,214.0,14.0,27.0,13.0,58.0,61.0,89.0,3.0,5.0,6.0,81.0,105.0,72.0,44.0,28.0,84.0,359.0,147.0,238.0,317.0,265.0,40.0,43.0,17.0
SPOT_04_22,14.0,10.0,455.0,21.0,19.0,7.0,35.0,34.0,16.0,14.0,143.0,26.0,56.0,106.0,63.0,19.0,169.0,68.0,40.0,11.0,3.0,7.0,22.0,60.0,21.0,56.0,28.0,376.0,176.0,187.0,33.0,134.0,235.0,55.0,74.0,41.0
SPOT_04_23,16.0,18.0,32.0,39.0,40.0,9.0,20.0,51.0,17.0,21.0,27.0,37.0,56.0,50.0,45.0,44.0,21.0,196.0,13.0,3.0,2.0,8.0,634.0,406.0,725.0,170.0,240.0,24.0,6.0,10.0,35.0,30.0,28.0,89.0,33.0,87.0
SPOT_04_24,16.0,12.0,36.0,8.0,4.0,1.0,3.0,25.0,2.0,13.0,30.0,9.0,2.0,4.0,3.0,26.0,24.0,12.0,10.0,1.0,0.0,0.0,15.0,19.0,23.0,3.0,7.0,8.0,10.0,2.0,2.0,4.0,14.0,26.0,6.0,6.0
SPOT_04_25,10.0,5.0,17.0,6.0,17.0,2.0,11.0,12.0,7.0,3.0,37.0,5.0,3.0,28.0,6.0,17.0,14.0,9.0,9.0,0.0,1.0,1.0,10.0,11.0,5.0,34.0,10.0,6.0,11.0,3.0,5.0,5.0,7.0,10.0,15.0,8.0
SPOT_04_26,17.0,3.0,34.0,105.0,6.0,4.0,6.0,3.0,4.0,11.0,57.0,8.0,18.0,4.0,6.0,23.0,20.0,12.0,12.0,2.0,1.0,2.0,6.0,10.0,3.0,5.0,9.0,5.0,5.0,6.0,1.0,2.0,4.0,3.0,13.0,7.0
SPOT_04_27,15.0,6.0,11.0,3.0,11.0,12.0,1.0,4.0,7.0,2.0,8.0,5.0,10.0,2.0,9.0,10.0,12.0,77.0,7.0,1.0,0.0,1.0,7.0,8.0,6.0,2.0,5.0,8.0,1.0,2.0,7.0,2.0,5.0,6.0,5.0,6.0
SPOT_04_28,19.0,23.0,8.0,9.0,2.0,6.0,8.0,11.0,8.0,6.0,12.0,12.0,9.0,12.0,7.0,23.0,12.0,8.0,12.0,0.0,1.0,1.0,16.0,2.0,1.0,3.0,6.0,1.0,3.0,6.0,3.0,2.0,3.0,4.0,7.0,11.0
SPOT_04_29,9.0,6.0,7.0,19.0,14.0,2.0,7.0,9.0,3.0,16.0,12.0,2.0,3.0,3.0,5.0,30.0,20.0,15.0,18.0,0.0,0.0,2.0,20.0,7.0,8.0,16.0,11.0,6.0,2.0,17.0,31.0,4.0,6.0,4.0,18.0,14.0
SPOT_05_00,22.0,10.0,41.0,3.0,7.0,14.0,6.0,12.0,4.0,2.0,9.0,5.0,6.0,6.0,9.0,29.0,5.0,6.0,38.0,2.0,1.0,1.0,5.0,9.0,6.0,11.0,5.0,10.0,7.0,8.0,1.0,2.0,3.0,8.0,17.0,4.0
SPOT_05_01,34.0,38.0,6.0,22.0,6.0,6.0,5.0,1.0,12.0,9.0,72.0,4.0,6.0,8.0,4.0,21.0,29.0,13.0,17.0,0.0,0.0,0.0,4.0,23.0,13.0,11.0,9.0,3.0,3.0,2.0,2.0,4.0,6.0,8.0,9.0,8.0
SPOT_05_02,5.0,8.0,21.0,9.0,5.0,11.0,3.0,6.0,24.0,11.0,10.0,3.0,17.0,10.0,8.0,17.0,15.0,20.0,18.0,1.0,1.0,1.0,20.0,14.0,13.0,26.0,13.0,2.0,6.0,6.0,1.0,12.0,6.0,4.0,8.0,10.0
SPOT_05_03,29.0,5.0,8.0,6.0,3.0,4.0,1.0,17.0,9.0,2.0,9.0,6.0,2.0,9.0,5.0,35.0,34.0,7.0,16.0,1.0,0.0,2.0,9.0,14.0,10.0,22.0,8.0,8.0,7.0,11.0,9.0,3.0,6.0,5.0,8.0,5.0
SPOT_05_04,14.0,19.0,19.0,15.0,25.0,8.0,2.0,13.0,4.0,5.0,11.0,4.0,4.0,6.0,9.0,18.0,24.0,4.0,6.0,1.0,1.0,1.0,12.0,13.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,9.0,22.0,11.0,7.0
SPOT_05_05,147.0,83.0,117.0,15.0,8.0,21.0,25.0,29.0,185.0,32.0,43.0,17.0,131.0,24.0,81.0,201.0,216.0,204.0,361.0,9.0,3.0,5.0,48.0,59.0,28.0,75.0,35.0,29.0,24.0,21.0,16.0,23.0,13.0,12.0,25.0,14.0
SPOT_05_06,10.0,17.0,112.0,21.0,22.0,14.0,16.0,71.0,43.0,17.0,46.0,6.0,34.0,38.0,16.0,28.0,15.0,137.0,60.0,1.0,1.0,10.0,765.0,195.0,263.0,224.0,853.0,20.0,6.0,28.0,14.0,21.0,16.0,9.0,17.0,13.0
SPOT_05_07,6.0,8.0,245.0,46.0,70.0,54.0,60.0,55.0,50.0,18.0,67.0,17.0,148.0,18.0,29.0,30.0,41.0,87.0,65.0,5.0,2.0,8.0,32.0,98.0,21.0,52.0,32.0,154.0,143.0,185.0,107.0,314.0,93.0,26.0,10.0,23.0
SPOT_05_08,23.0,7.0,47.0,10.0,11.0,26.0,24.0,19.0,18.0,65.0,70.0,13.0,74.0,47.0,39.0,68.0,12.0,94.0,47.0,2.0,6.0,6.0,1016.0,390.0,284.0,518.0,806.0,34.0,16.0,63.0,6.0,13.0,21.0,15.0,41.0,3.0
SPOT_05_09,11.0,9.0,91.0,26.0,39.0,22.0,32.0,42.0,18.0,24.0,180.0,11.0,44.0,14.0,3.0,18.0,23.0,39.0,52.0,2.0,5.0,16.0,336.0,353.0,450.0,223.0,520.0,5.0,5.0,7.0,3.0,6.0,11.0,42.0,93.0,30.0
SPOT_05_10,9.0,18.0,86.0,150.0,31.0,19.0,24.0,26.0,73.0,33.0,112.0,19.0,83.0,39.0,38.0,39.0,129.0,220.0,71.0,6.0,0.0,4.0,46.0,62.0,20.0,28.0,107.0,59.0,130.0,252.0,87.0,163.0,48.0,32.0,24.0,27.0
SPOT_05_11,23.0,13.0,36.0,35.0,27.0,7.0,12.0,20.0,12.0,23.0,122.0,15.0,48.0,18.0,10.0,26.0,9.0,62.0,60.0,4.0,1.0,2.0,363.0,506.0,214.0,356.0,236.0,18.0,17.0,16.0,6.0,44.0,35.0,30.0,47.0,19.0
SPOT_05_12,18.0,31.0,52.0,11.0,15.0,11.0,12.0,78.0,8.0,25.0,28.0,13.0,34.0,34.0,12.0,35.0,39.0,108.0,9.0,4.0,3.0,6.0,282.0,570.0,494.0,161.0,886.0,25.0,47.0,9.0,5.0,24.0,11.0,19.0,24.0,9.0
SPOT_05_13,11.0,22.0,59.0,47.0,67.0,29.0,18.0,66.0,31.0,16.0,70.0,17.0,36.0,91.0,42.0,21.0,74.0,88.0,45.0,5.0,1.0,13.0,93.0,53.0,9.0,46.0,11.0,37.0,163.0,152.0,126.0,213.0,209.0,16.0,155.0,37.0
SPOT_05_14,20.0,11.0,151.0,7.0,12.0,12.0,24.0,27.0,10.0,52.0,84.0,15.0,3.0,50.0,15.0,23.0,14.0,26.0,40.0,1.0,2.0,3.0,638.0,394.0,104.0,259.0,353.0,3.0,4.0,12.0,6.0,4.0,18.0,15.0,32.0,27.0
SPOT_05_15,14.0,17.0,184.0,47.0,37.0,21.0,9.0,68.0,22.0,27.0,115.0,6.0,44.0,43.0,16.0,18.0,108.0,27.0,77.0,4.0,2.0,1.0,35.0,82.0,10.0,40.0,35.0,151.0,193.0,122.0,244.0,66.0,252.0,63.0,33.0,57.0
SPOT_05_16,17.0,10.0,179.0,69.0,39.0,94.0,24.0,224.0,10.0,27.0,117.0,30.0,21.0,16.0,14.0,10.0,85.0,52.0,53.0,2.0,2.0,5.0,34.0,79.0,110.0,59.0,20.0,86.0,220.0,45.0,183.0,910.0,131.0,49.0,27.0,60.0
SPOT_05_17,24.0,12.0,47.0,45.0,36.0,36.0,10.0,10.0,47.0,44.0,48.0,53.0,48.0,40.0,24.0,20.0,17.0,48.0,71.0,1.0,0.0,10.0,1066.0,745.0,456.0,325.0,389.0,25.0,9.0,19.0,5.0,41.0,14.0,34.0,21.0,56.0
SPOT_05_18,22.0,9.0,62.0,10.0,50.0,29.0,16.0,27.0,14.0,9.0,46.0,26.0,73.0,36.0,11.0,22.0,11.0,36.0,76.0,5.0,1.0,5.0,768.0,1102.0,137.0,475.0,317.0,17.0,9.0,7.0,23.0,9.0,33.0,30.0,10.0,205.0
SPOT_05_19,10.0,39.0,92.0,37.0,58.0,18.0,12.0,103.0,89.0,23.0,132.0,63.0,76.0,28.0,50.0,13.0,41.0,77.0,82.0,1.0,1.0,12.0,47.0,32.0,64.0,21.0,19.0,105.0,52.0,217.0,91.0,221.0,241.0,32.0,31.0,19.0
SPOT_05_20,17.0,6.0,67.0,22.0,33.0,19.0,70.0,27.0,66.0,22.0,134.0,55.0,34.0,35.0,23.0,57.0,25.0,14.0,67.0,8.0,1.0,7.0,41.0,141.0,15.0,38.0,34.0,238.0,40.0,275.0,87.0,188.0,208.0,55.0,65.0,158.0
SPOT_05_21,22.0,11.0,62.0,17.0,17.0,32.0,10.0,28.0,31.0,22.0,21.0,40.0,70.0,29.0,30.0,7.0,11.0,127.0,32.0,5.0,1.0,5.0,314.0,415.0,341.0,129.0,449.0,8.0,3.0,4.0,8.0,27.0,8.0,12.0,10.0,12.0
SPOT_05_22,6.0,27.0,66.0,21.0,29.0,16.0,23.0,44.0,24.0,12.0,36.0,26.0,16.0,8.0,17.0,29.0,28.0,58.0,51.0,1.0,2.0,4.0,358.0,463.0,711.0,200.0,433.0,16.0,4.0,10.0,2.0,16.0,20.0,60.0,25.0,15.0
SPOT_05_23,12.0,20.0,73.0,63.0,47.0,9.0,17.0,32.0,24.0,12.0,52.0,20.0,25.0,10.0,16.0,65.0,19.0,114.0,36.0,2.0,2.0,3.0,591.0,348.0,611.0,146.0,361.0,14.0,29.0,9.0,7.0,12.0,19.0,10.0,25.0,19.0
SPOT_05_24,23.0,6.0,116.0,57.0,38.0,9.0,52.0,25.0,18.0,15.0,108.0,16.0,112.0,25.0,17.0,40.0,59.0,74.0,94.0,4.0,6.0,13.0,77.0,29.0,32.0,45.0,13.0,186.0,179.0,166.0,134.0,398.0,201.0,42.0,24.0,41.0
SPOT_05_25,73.0,25.0,32.0,44.0,20.0,11.0,42.0,327.0,56.0,35.0,117.0,15.0,34.0,18.0,20.0,237.0,222.0,146.0,99.0,5.0,3.0,9.0,82.0,35.0,10.0,17.0,18.0,19.0,48.0,13.0,8.0,12.0,82.0,17.0,34.0,14.0
SPOT_05_26,19.0,8.0,15.0,13.0,6.0,2.0,7.0,15.0,7.0,3.0,119.0,4.0,13.0,5.0,6.0,5.0,36.0,20.0,5.0,1.0,0.0,1.0,22.0,17.0,6.0,5.0,14.0,6.0,9.0,5.0,1.0,4.0,5.0,3.0,4.0,1.0
SPOT_05_27,20.0,13.0,10.0,6.0,8.0,2.0,3.0,8.0,2.0,8.0,8.0,3.0,19.0,5.0,1.0,8.0,36.0,12.0,23.0,0.0,1.0,0.0,5.0,7.0,6.0,2.0,3.0,14.0,5.0,5.0,2.0,8.0,2.0,11.0,14.0,11.0
SPOT_05_28,6.0,20.0,35.0,4.0,9.0,5.0,3.0,13.0,9.0,7.0,7.0,8.0,12.0,1.0,21.0,9.0,19.0,4.0,22.0,0.0,1.0,1.0,6.0,27.0,5.0,5.0,9.0,1.0,1.0,25.0,1.0,2.0,4.0,6.0,2.0,3.0
